customer_age,vendor_count,product_count,total_spend,total_orders,average_order_revenue,first_order_rearranged,last_order_rearranged,is_chain_percentage,cluster_dendogram,cluster_kmeans,cluster_birch,cluster_som,cluster_dbscan,cluster_meanshift,customer_region,last_promo,payment_method,hour,day,CUI_American_Percentage,CUI_Asian_Percentage,CUI_Beverages_Percentage,CUI_Cafe_Percentage,CUI_Chicken Dishes_Percentage,CUI_Chinese_Percentage,CUI_Desserts_Percentage,CUI_Healthy_Percentage,CUI_Indian_Percentage,CUI_Italian_Percentage,CUI_Japanese_Percentage,CUI_Noodle Dishes_Percentage,CUI_OTHER_Percentage,CUI_Street Food / Snacks_Percentage,CUI_Thai_Percentage
18,2,5,28.88,2,14.44,90,89,0.5,3,2,0,0,0,0,2360,DELIVERY,DIGI,Dinner,weekend,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2,2,19.21,2,9.605,90,89,1,2,2,0,0,1,0,8670,DISCOUNT,DIGI,Breakfast,weekend,0.66736075,0.33263925,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,2,9.2,2,4.6,90,89,1,2,2,0,1,1,0,4660,DISCOUNT,CASH,Breakfast,weekend,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,3,31.56,2,15.78,90,88,0.5,3,2,0,0,0,0,4660,DELIVERY,DIGI,Lunch,weekday,0,0.43409379,0,0,0,0,0,0,0.56590621,0,0,0,0,0,0
20,2,5,55.44,2,27.72,90,88,0,3,2,0,2,1,0,4660,-,DIGI,Breakfast,weekday,0.262806638,0.737193362,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,2,24.92,2,12.46,90,88,0,3,2,0,0,1,0,8670,FREEBIE,DIGI,Late Night,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,2,7.41,2,3.705,90,88,1,2,2,0,0,1,0,2440,-,CARD,Lunch,weekday,0.793522267,0,0.206477733,0,0,0,0,0,0,0,0,0,0,0,0
27,2,3,36.11,2,18.055,90,88,1,2,2,0,0,1,0,8670,DISCOUNT,DIGI,Breakfast,weekday,0.324286901,0,0.675713099,0,0,0,0,0,0,0,0,0,0,0,0
20,3,4,14.44,3,4.813333333,90,87,0.666666667,3,2,0,0,1,0,2360,DISCOUNT,DIGI,Afternoon,weekend,0.190443213,0,0,0,0,0,0,0.30401662,0,0,0,0,0.505540166,0,0
20,2,3,32.48,2,16.24,90,87,0,3,2,0,0,1,0,8670,DELIVERY,CARD,Late Night,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,4,18.08,2,9.04,90,87,1,2,2,0,0,1,0,2360,DELIVERY,CASH,Lunch,weekday,0.374446903,0,0,0,0,0.625553097,0,0,0,0,0,0,0,0,0
18,2,3,44.51,2,22.255,90,86,0.5,3,2,0,0,0,0,4660,DELIVERY,CARD,Afternoon,weekday,0,0.302403954,0,0,0,0.697596046,0,0,0,0,0,0,0,0,0
33,2,3,27.21,2,13.605,90,86,0.5,3,2,0,0,0,0,-,DISCOUNT,DIGI,Late Night,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,2,23.62,2,11.81,90,86,0,3,2,0,0,1,0,8670,-,DIGI,Late Night,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,9.9,2,4.95,90,86,1,2,2,0,0,1,0,2360,-,CASH,Lunch,weekday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,2,2,18.92,2,9.46,90,86,1,2,2,0,0,1,0,8670,FREEBIE,CARD,Breakfast,weekday,0,0.676004228,0.323995772,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,8.28,2,4.14,90,85,1,2,2,0,1,1,0,4660,DELIVERY,CASH,Afternoon,weekday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,3,8.54,2,4.27,90,85,1,2,2,0,0,1,0,2440,-,DIGI,Afternoon,weekday,0,0,0.272833724,0,0.727166276,0,0,0,0,0,0,0,0,0,0
22,3,4,37.68,3,12.56,90,85,0.666666667,3,2,0,0,1,0,8670,DELIVERY,DIGI,Lunch,weekday,0,0.161093418,0.328556263,0,0,0,0,0,0,0,0,0,0,0.510350318,0
31,2,2,19.33,2,9.665,90,85,0.5,3,2,0,0,0,0,4660,DISCOUNT,CASH,Dinner,weekday,0,0,0,0,0,0,0,0,0.402483187,0,0.597516813,0,0,0,0
15,2,3,29.98,2,14.99,90,85,0.5,3,2,0,0,0,0,8670,DELIVERY,DIGI,Late Night,weekday,0.202134757,0,0,0,0,0,0,0,0,0,0.797865243,0,0,0,0
47,4,6,72.53,4,18.1325,90,85,0.5,3,2,0,3,-1,0,8670,DELIVERY,CARD,Late Night,weekend,0.082448642,0.165035158,0,0,0,0,0,0,0,0,0,0,0,0.7525162,0
24,2,3,8.98,2,4.49,90,85,1,2,2,0,0,1,0,2360,-,DIGI,Dinner,weekday,0.65701559,0,0,0,0,0,0,0,0,0,0,0,0.34298441,0,0
26,5,6,61.17,5,12.234,90,84,0.2,1,2,0,3,1,0,8670,DISCOUNT,CASH,Lunch,weekend,0.097433382,0.094490763,0,0,0,0,0,0.311590649,0,0,0,0,0,0.496485205,0
